ID_Date,Unique_visitors,PDFBrochuresDownloaded,ProductConfigurator,Product_configurator_Visists,SocialNetworks,DirectTraffic,EMail,NaturalSearch,OnlineMedia,OtherReferrer,PaidSearch,RopaHombre,RopaMujer,Complementos_x,Zapatos_x,Home_x,Interior_x,Otros_x,SR_Total,Dias_mes,Dia_inicio_mes,Dia_findemes,working_days,Dias_fines_semana,Easterweek,Visit_Store,Mercado,Sales,Complementos_y,Ropa_hombre,Zapatos_y,Ropa_Mujer,Home_y,Interior_y,Otros_y,Ticket_medio,CINE,EXTERIOR,INTERNET,PRENSA,PRODUCCION,RADIO,REVISTAS,PlataformasVideo,VARIOS,INV_Total
202201,272382,4838,33222,94248,1415,65373,25,167199,63649,39808,13798,50140,81289,16190,36790,18848,9906,183,213346,31,5,7,21,10,0,5516,76331,1299,115,270,273,444,131,60,6,68,59887.84,8200.0,133666.43,0.0,6050.0,2426.4,18013.5,338824.94,7531.030000000001,574600.14
202202,352581,5823,38570,109531,546,77209,26,176733,124861,45543,28656,51217,152805,26083,37960,20047,11057,461,299630,28,1,7,20,8,0,6769,97646,1752,155,393,286,689,179,42,8,86,72291.56,94627.51,189275.94,10000.0,6700.0,0.0,49110.91,487537.14,6972.02,916515.08
202203,332955,4845,33956,97805,5444,83178,341,173514,104132,43583,15243,49163,68383,18109,37765,20105,66200,198,259923,31,1,3,23,8,0,6249,111510,1897,148,442,333,693,249,30,2,92,55000.0,0.0,214037.62,4500.0,3700.0,0.0,0.0,75000.0,15284.85,367522.47
202204,282169,3711,45949,90689,1184,69335,162,162805,74044,39650,18510,48219,65126,16985,76244,17629,17827,176,242206,30,4,5,22,8,1,6507,100269,1546,110,371,297,591,154,23,0,87,10883.3,0.0,194816.97,48800.0,21550.0,1140.0,40876.0,610865.8899999999,12255.75,941187.91
202205,261829,9037,48685,92069,8648,70972,210,156011,44196,40472,20031,42229,44577,16498,79434,18526,10738,186,212188,31,6,1,21,10,0,7183,113667,1784,138,411,374,635,187,38,1,83,74333.2,0.0,130795.15999999996,11000.0,4900.0,102851.86000000002,20775.75,393807.7400000001,7926.459999999999,746390.17
202206,201141,10727,38608,73421,1082,61455,2374,134355,15600,35272,13658,35803,35046,14594,36188,14362,9893,169,146055,30,2,3,22,8,0,5798,123783,1818,153,483,336,659,154,33,0,81,37400.0,0.0,67827.66,0.0,12250.0,5526.49,75573.13,0.0,5405.719999999999,203983.00000000003
202207,206538,11023,38912,74564,909,66835,204,144300,11000,35674,12262,37299,37862,14185,32259,15420,11114,117,148256,31,4,6,22,9,0,5784,107287,1583,142,382,323,585,124,26,1,85,58816.5,0.0,61897.17,0.0,650.0,158.4,2600.0,1500.0,4574.5,130196.57
202208,259903,15743,47613,88335,7511,78704,14,172986,15205,42545,18902,57031,41422,15235,36525,27579,10447,151,188390,31,7,2,22,9,0,5505,64081,1142,96,299,216,433,73,25,0,80,0.0,0.0,46362.01,13000.0,9750.0,345.6,33860.0,391987.8699999999,28716.26,524021.7399999999
202209,261618,14130,44164,83840,1773,58630,199,174125,41832,41167,24528,45671,42593,16139,35018,63586,9478,122,212607,30,3,4,22,8,0,5967,79586,1541,117,399,295,516,196,18,0,72,39483.3,0.0,77470.41,9507.8,7850.0,2686.8,14580.0,0.0,6645.27,158223.58
202210,396642,16321,53200,100262,2117,74040,874,203699,162588,45763,18063,47997,94191,16499,40008,27531,10355,230,236811,31,5,7,21,10,0,6611,83242,1586,132,435,309,521,162,27,0,60,45733.2,0.0,271750.66000000003,0.0,20300.0,3162.0,117786.97,804181.4000000003,14421.129999999996,1277335.3600000003
